	enraged	set	inspire	durability	text	freeze	cost	divine_shield	immunetospellpower	adjacent_buff	id	playerClass	charge	choose_one	poisonous	attack	overload	secret	invisibledeathrattle	health	spellDamage	combo	cant_be_targeted_by_hero_powers	type	aura	collectible	taunt	forgetful	topdeck	deathrattle	stealth	cant_attack	name	artist	ritual	windfury	rarity	race	cant_be_targeted_by_abilities	battlecry	silence
14	0	expert1	0	0	<b>choose_one</b>_-_give_your_other_minions_+2/+2;_or_summon_two_2/2_treants_with_<b>taunt</b>.	0	9	0	0	0	ex1_573	druid	0	1	0	5	0	0	0	8	0	0	0	minion	0	True	0	0	0	0	0	0	cenarius	alex_horley_orlandelli	0	0	legendary		0	0	0
15	0	core	0	0		0	6	0	0	0	cs2_200	neutral	0	0	0	6	0	0	0	7	0	0	0	minion	0	True	0	0	0	0	0	0	boulderfist_ogre	brian_despain	0	0	free		0	0	0
16	0	og	0	0	"[x]<b><b>spell_damage</b>_+1</b>
after_you_cast_a_spell,
give_your_c'thun_+1/+1
<i>(wherever_it_is).</i>"	0	2	0	0	0	og_303	mage	0	0	0	3	0	0	0	2	1	0	0	minion	0	True	0	0	0	0	0	0	cult_sorcerer	j._meyers_&_t._washington	1	0	rare		0	0	0
17	0	og	0	0	"<b>taunt</b>
<b>divine_shield</b>"	0	5	1	0	0	og_145	neutral	0	0	0	3	0	0	0	4	0	0	0	minion	0	True	1	0	0	0	0	0	psych-o-tron	matt_dixon	0	0	common	mechanical	0	0	0
18	0	expert1	0	0	deal_$8_damage_randomly_split_among_all_enemies.	0	6	0	1	0	ex1_384	paladin	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	avenging_wrath	alex_garner	0	0	epic		0	0	0
19	0	loe	0	0	<b>battlecry:</b>_shuffle_the_'map_to_the_golden_monkey'___into_your_deck.	0	4	0	0	0	loe_079	neutral	0	0	0	3	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	elise_starseeker	luke_mancini	0	0	legendary		0	1	0
20	0	gvg	0	0	summon_three_1/1_silver_hand_recruits._equip_a_1/4_weapon.	0	3	0	0	0	gvg_061	paladin	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	muster_for_battle	mike_hayes	0	0	rare		0	0	0
21	0	brm	0	0	after_you_cast_a_spell,_deal_2_damage_randomly_split_among_all_enemies.	0	3	0	0	0	brm_002	mage	0	0	0	2	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	flamewaker	alex_horley_orlandelli	0	0	rare		0	0	0
22	0	og	0	0	<b>battlecry:</b>_destroy_a_minion._add_its_attack_and_health_to_your_c'thun's_<i>(wherever_it_is).</i>	0	9	0	0	0	og_282	rogue	0	0	0	4	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	blade_of_c'thun	steve_prescott	1	0	epic		0	1	0
23	0	expert1	0	0	<b>battlecry:</b>_gain_+1_health_for_each_card_in_your_hand.	0	4	0	0	0	ex1_043	neutral	0	0	0	4	0	0	0	1	0	0	0	minion	0	True	0	0	0	0	0	0	twilight_drake	jaemin_kim	0	0	rare	dragon	0	1	0
24	0	loe	0	0	whenever_you_cast_a_spell,_summon_a_random_minion_of_the_same_cost.	0	5	0	0	0	loe_086	neutral	0	0	0	0	0	0	0	6	0	0	0	minion	0	True	0	0	0	0	0	0	summoning_stone	jason_kang	0	0	rare		0	0	0
25	0	tgt	0	0	whenever_this_minion_attacks_a_hero,_add_the_coin_to_your_hand.	0	2	0	0	0	at_031	rogue	0	0	0	2	0	0	0	2	0	0	0	minion	0	True	0	0	0	0	0	0	cutpurse	alex_horley_orlandelli	0	0	rare		0	0	0
26	0	core	0	0	take_control_of_an_enemy_minion.	0	10	0	0	0	cs1_113	priest	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	mind_control	sean_oâ€™daniels	0	0	common		0	0	0
27	0	core	0	0	deal_$1_damage_to_all_minions.	0	1	0	0	0	ex1_400	warrior	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	whirlwind	jonboy_meyers	0	0	common		0	0	0
28	0	naxx	0	0	<b>deathrattle:</b>_if_stalagg_also_died_this_game,_summon_thaddius.	0	5	0	0	0	fp1_015	neutral	0	0	0	4	0	0	0	7	0	0	0	minion	0	True	0	0	0	1	0	0	feugen	dany_orizio	0	0	legendary		0	0	0
29	0	expert1	0	0	<b>divine_shield</b>	0	3	1	0	0	ex1_020	neutral	0	0	0	3	0	0	0	1	0	0	0	minion	0	True	0	0	0	0	0	0	scarlet_crusader	gonzalo_ordonez	0	0	common		0	0	0
30	0	og	0	0	deal_$4_damage_to_a_minion._<b>overload:</b>_(1)	0	2	0	0	0	og_206	shaman	0	0	0		1	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	stormcrack	maurico_herrera	0	0	common		0	0	0
31	0	naxx	0	0	<b>battlecry:</b>_summon_an_exact_copy_of_this_minion_at_the_end_of_the_turn.	0	2	0	0	0	fp1_003	neutral	0	0	0	1	0	0	0	2	0	0	0	minion	0	True	0	0	0	0	0	0	echoing_ooze	eric_browning	0	0	epic		0	1	0
32	0	tgt	1	0	<b>inspire:</b>_gain_<b>spell_damage_+1</b>.	0	4	0	0	0	at_006	mage	0	0	0	3	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	dalaran_aspirant	dan_scott	0	0	common		0	0	0
33	0	og	0	0	give_a_minion_+1/+1_for_each_of_your_totems.	0	1	0	0	0	og_023	shaman	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	primal_fusion	jimmy_lo	0	0	common		0	0	0
34	0	tgt	0	0	give_your_<b>taunt</b>_minions_+2/+2.	0	2	0	0	0	at_068	warrior	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	bolster	mishi_mccaig	0	0	common		0	0	0
35	0	expert1	0	0	whenever_a_player_casts_a_spell,_put_a_copy_into_the_other_playerâ€™s_hand.	0	2	0	0	0	ex1_100	neutral	0	0	0	0	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	lorewalker_cho	mark_zug	0	0	legendary		0	0	0
36	0	gvg	0	0	"<b>taunt</b>
<b>divine_shield</b>"	0	2	1	0	0	gvg_085	neutral	0	0	0	1	0	0	0	2	0	0	0	minion	0	True	1	0	0	0	0	0	annoy-o-tron	matt_dixon	0	0	common	mechanical	0	0	0
37	0	gvg	0	0	at_the_end_of_your_turn,_give_another_friendly_mech_+2/+2.	0	3	0	0	0	gvg_027	rogue	0	0	0	2	0	0	0	2	0	0	0	minion	0	True	0	0	0	0	0	0	iron_sensei	brian_despain	0	0	rare	mechanical	0	0	0
38	0	loe	0	0	"give_a_minion_+1/+1_and_""<b>deathrattle:</b>_add_an_explorer's_hat_to_your_hand."""	0	2	0	0	0	loe_105	hunter	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	explorer's_hat	joe_wilson	0	0	rare		0	0	0
39	0	expert1	0	0	"<b>charge</b>
<b>divine_shield</b>"	0	6	1	0	0	ex1_067	neutral	1	0	0	4	0	0	0	2	0	0	0	minion	0	True	0	0	0	0	0	0	argent_commander	james_ryman	0	0	rare		0	0	0
40	0	core	0	0	<b>taunt</b>	0	2	0	0	0	cs2_121	neutral	0	0	0	2	0	0	0	2	0	0	0	minion	0	True	1	0	0	0	0	0	frostwolf_grunt	richie_marella	0	0	common		0	0	0
41	0	expert1	0	0	can't_attack.	0	2	0	0	0	ex1_045	neutral	0	0	0	4	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	1	ancient_watcher	richard_wright	0	0	rare		0	0	0
42	0	tgt	0	0	<b>battlecry:</b>_if_you're_holding_a_dragon,_gain_+1_attack_and_<b>taunt</b>.	0	2	0	0	0	at_116	priest	0	0	0	1	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	wyrmrest_agent	jeff_easley	0	0	rare		0	1	0
43	0	expert1	0	0	<b>combo:</b>_gain_+2/+2_for_each_card_played_earlier_this_turn.	0	3	0	0	0	ex1_613	rogue	0	0	0	2	0	0	0	2	0	1	0	minion	0	True	0	0	0	0	0	0	edwin_vancleef	efrem_palacios	0	0	legendary		0	0	0
44	0	expert1	0	0	destroy_all_minions_except_one._<i>(chosen_randomly)</i>	0	5	0	0	0	ex1_407	warrior	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	brawl	wayne_reynolds	0	0	epic		0	0	0
45	0	og	0	0	"<b>discover</b>_a_minion.
give_it_+1/+1."	0	2	0	0	0	og_311	paladin	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	a_light_in_the_darkness	zoltan_boros	0	0	common		0	0	0
46	0	core	0	0	<b>battlecry:</b>_deal_1_damage_to_all_other_characters.	0	6	0	0	0	cs2_064	warlock	0	0	0	6	0	0	0	6	0	0	0	minion	0	True	0	0	0	0	0	0	dread_infernal	zoltan_&_gabor	0	0	common	demon	0	1	0
47	0	naxx	0	0	"<b>taunt
deathrattle:</b>_summon_a_1/2_slime_with_<b>taunt</b>."	0	5	0	0	0	fp1_012	neutral	0	0	0	3	0	0	0	5	0	0	0	minion	0	True	1	0	0	1	0	0	sludge_belcher	nate_bowden	0	0	rare		0	0	0
48	0	tgt	0	0	"<b>battlecry:</b>_if_you_have_a_beast,_summon_a
random_beast."	0	5	0	0	0	at_010	hunter	0	0	0	3	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	ram_wrangler	brandon_kitkouski	0	0	rare		0	1	0
49	0	og	0	0	"whenever_a_character_is_healed,_give_your
c'thun_+1/+1_<i>(wherever_it_is).</i>"	0	4	0	0	0	og_334	priest	0	0	0	3	0	0	0	6	0	0	0	minion	0	True	0	0	0	0	0	0	hooded_acolyte	adam_byrne	1	0	common		0	0	0
50	0	loe	0	0	canâ€™t_attack_unless_itâ€™s_the_only_minion_in_the_battlefield.	0	4	0	0	0	loe_107	neutral	0	0	0	7	0	0	0	7	0	0	0	minion	0	True	0	0	0	0	0	0	eerie_statue	jim_nelson	0	0	rare		0	0	0
51	0	tgt	0	0	whenever_you_draw_a_card,_reduce_its_cost_by_(1).	0	3	0	0	0	at_014	priest	0	0	0	3	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	shadowfiend	warren_mahy	0	0	epic		0	0	0
52	0	brm	0	0	at_the_end_of_your_turn,_reduce_the_cost_of_cards_in_your_hand_by_(1).	0	6	0	0	0	brm_028	neutral	0	0	0	5	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	emperor_thaurissan	wayne_reynolds	0	0	legendary		0	0	0
53	0	gvg	0	0	<b>battlecry_and_deathrattle:</b>_add_a_<b>spare_part</b>_card_to_your_hand.	0	6	0	0	0	gvg_115	neutral	0	0	0	5	0	0	0	7	0	0	0	minion	0	True	0	0	0	1	0	0	toshley	zoltan_&_gabor	0	0	legendary		0	1	0
54	0	og	0	0		0	3	0	0	0	og_248	neutral	0	0	0	1	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	am'gam_rager	matt_gaser	0	0	common		0	0	0
55	0	expert1	0	0	<b>choose_one_-</b>_draw_a_card;_or_restore_5_health.	0	7	0	0	0	new1_008	druid	0	1	0	5	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	ancient_of_lore	patrik_hjelm	0	0	epic		0	0	0
56	0	expert1	0	0	<b>battlecry:</b>_give_adjacent_minions_+1/+1_and_<b>taunt</b>.	0	4	0	0	0	ex1_093	neutral	0	0	0	2	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	defender_of_argus	alex_horley_orlandelli	0	0	rare		0	1	0
57	0	core	0	0	deal_$4_damage._discard_a_random_card.	0	1	0	0	0	ex1_308	warlock	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	soulfire	raymond_swanland	0	0	common		0	0	0
58	0	gvg	0	0	"<b>charge</b>
<b>taunt</b>"	0	3	0	0	0	gvg_098	neutral	1	0	0	1	0	0	0	4	0	0	0	minion	0	True	1	0	0	0	0	0	gnomeregan_infantry	zoltan_&_gabor	0	0	common		0	0	0
59	0	loe	0	0	<b>secret:</b>_after_your_opponent_has_at_least_3_minions_and_plays_another,_destroy_it.	0	1	0	0	0	loe_027	paladin	0	0	0		0	1	0		0	0	0	spell	0	True	0	0	0	0	0	0	sacred_trial	zoltan_boros	0	0	common		0	0	0
60	0	og	0	0	"deal_$1_damage.
summon_a_1/1_mastiff."	0	1	0	0	0	og_061	hunter	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	on_the_hunt	zoltan_boros	0	0	common		0	0	0
61	0	gvg	0	0	deal_$3_damage.	0	2	0	0	0	gvg_015	warlock	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	darkbomb	jeff_haynie	0	0	common		0	0	0
62	0	tgt	1	0	<b>inspire:</b>_gain_+1_health.	0	2	0	0	0	at_089	neutral	0	0	0	3	0	0	0	2	0	0	0	minion	0	True	0	0	0	0	0	0	boneguard_lieutenant	slawomir_maniak	0	0	common		0	0	0
63	0	gvg	0	0	<b>battlecry</b>:_give_your_other_mechs_+2_attack.	0	3	0	0	0	gvg_048	hunter	0	0	0	3	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	metaltooth_leaper	hideaki_takamura	0	0	rare	mechanical	0	1	0
64	0	gvg	0	0	after_you_summon_a_pirate,_deal_2_damage_to_a_random_enemy.	0	2	0	0	0	gvg_075	neutral	0	0	0	2	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	ship's_cannon	warren_mahy	0	0	common		0	0	0
65	0	expert1	0	0	<b>battlecry:</b>_restore_3_health.	0	3	0	0	0	cs2_117	neutral	0	0	0	3	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	earthen_ring_farseer	alex_horley_orlandelli	0	0	common		0	1	0
66	0	og	0	0	<b>deathrattle:</b>_deal_8_damage_to_all_minions.	0	8	0	0	0	og_120	mage	0	0	0	8	0	0	0	6	0	0	0	minion	0	True	0	0	0	1	0	0	anomalus	kan_lui	0	0	legendary		0	0	0
67	0	gvg	0	0	<b>battlecry:</b>_give_a_friendly_mech_+4_health.	0	5	0	0	0	gvg_083	priest	0	0	0	5	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	upgraded_repair_bot	nutchapol_thitinunthakorn	0	0	rare	mechanical	0	1	0
68	0	core	0	0	deal_$2_damage.	0	1	0	0	0	ds1_185	hunter	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	arcane_shot	luca_zontini	0	0	free		0	0	0
69	0	core	0	0	<b>spell_damage_+1</b>	0	4	0	0	0	cs2_197	neutral	0	0	0	4	0	0	0	4	1	0	0	minion	0	True	0	0	0	0	0	0	ogre_magi	james_ryman	0	0	common		0	0	0
70	0	core	0	0	deal_$3_damage_to_the_enemy_hero.	0	1	0	0	0	cs2_075	rogue	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	sinister_strike	frank_cho	0	0	free		0	0	0
71	0	expert1	0	0	players_only_have_15_seconds_to_take_their_turns.	0	9	0	0	0	ex1_560	neutral	0	0	0	8	0	0	0	8	0	0	0	minion	0	True	0	0	0	0	0	0	nozdormu	james_ryman	0	0	legendary	dragon	0	0	0
72	0	og	0	0	summon_five_1/1_silver_hand_recruits.	0	5	0	0	0	og_273	paladin	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	stand_against_darkness	ralph_horsley	0	0	common		0	0	0
73	0	loe	0	0	<b>battlecry:</b>_if_you_have_6_other_minions,_gain_+4/+4.	0	1	0	0	0	loe_116	warlock	0	0	0	1	0	0	0	1	0	0	0	minion	0	True	0	0	0	0	0	0	reliquary_seeker	wayne_reynolds	0	0	rare		0	1	0
74	0	expert1	0	0	the_next_spell_you_cast_this_turn_costs_(3)_less.	0	0	0	0	0	ex1_145	rogue	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	preparation	clint_langley	0	0	epic		0	0	0
75	0	core	0	0	<b>taunt</b>	0	6	0	0	0	cs2_162	neutral	0	0	0	6	0	0	0	5	0	0	0	minion	0	True	1	0	0	0	0	0	lord_of_the_arena	e.m._gist	0	0	common		0	0	0
76	0	expert1	0	0	<b>battlecry:</b>_destroy_a_random_enemy_minion_with_2_or_less_attack.	0	5	0	0	0	new1_041	neutral	0	0	0	3	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	stampeding_kodo	daren_bader	0	0	rare	beast	0	1	0
77	0	og	0	0	add_3_random_mage_spells_to_your_hand.	0	5	0	0	0	og_090	mage	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	cabalist's_tome	milivoj_ceran	0	0	epic		0	0	0
78	0	expert1	0	0	costs_(1)_less_for_each_other_minion_on_the_battlefield.	0	10	0	0	0	ex1_586	neutral	0	0	0	8	0	0	0	8	0	0	0	minion	0	True	0	0	0	0	0	0	sea_giant	svetlin_velinov	0	0	epic		0	0	0
79	0	expert1	0	0	<b>battlecry:</b>_give_a_friendly_minion_<b>stealth</b>_until_your_next_turn.	0	4	0	0	0	new1_014	rogue	0	0	0	4	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	master_of_disguise	ron_spencer	0	0	rare		0	1	0
80	0	naxx	0	0	<b>deathrattle:</b>_if_feugen_also_died_this_game,_summon_thaddius.	0	5	0	0	0	fp1_014	neutral	0	0	0	7	0	0	0	4	0	0	0	minion	0	True	0	0	0	1	0	0	stalagg	dany_orizio	0	0	legendary		0	0	0
81	0	expert1	0	0	<b>battlecry:</b>_return_a_friendly_minion_from_the_battlefield_to_your_hand.	0	4	0	0	0	ex1_057	neutral	0	0	0	5	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	ancient_brewmaster	bernie_kang	0	0	common		0	1	0
82	0	og	0	0	<b>spell_damage_+2</b>	0	4	0	0	0	og_082	neutral	0	0	0	2	0	0	0	2	2	0	0	minion	0	True	0	0	0	0	0	0	evolved_kobold	genevieve_tsai_&_nutchapol_	0	0	common		0	0	0
83	0	core	0	0	<b>charge</b>	0	4	0	0	0	cs2_131	neutral	1	0	0	2	0	0	0	5	0	0	0	minion	0	True	0	0	0	0	0	0	stormwind_knight	ladronn	0	0	common		0	0	0
84	0	og	0	0	deal_$5_damage_to_an_undamaged_character.	0	3	0	0	0	og_176	rogue	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	shadow_strike	dave_allsop	0	0	common		0	0	0
85	0	tgt	0	0	<b>battlecry:</b>_put_one_of_each_<b>secret</b>_from_your_deck_into_the_battlefield.	0	6	0	0	0	at_079	paladin	0	0	0	6	0	0	0	6	0	0	0	minion	0	True	0	0	0	0	0	0	mysterious_challenger	zoltan_boros	0	0	epic		0	1	0
86	0	naxx	0	0	<b>deathrattle:</b>_return_a_random_friendly_minion_to_your_hand.	0	4	0	0	0	fp1_026	rogue	0	0	0	5	0	0	0	5	0	0	0	minion	0	True	0	0	0	1	0	0	anub'ar_ambusher	nate_bowden	0	0	common		0	0	0
87	0	tgt	0	0	<b>secret:</b>_after_your_hero_is_attacked,_summon_a_3/3_bear_with_<b>taunt</b>.	0	2	0	0	0	at_060	hunter	0	0	0		0	1	0		0	0	0	spell	0	True	0	0	0	0	0	0	bear_trap	richard_wright	0	0	common		0	0	0
88	0	core	0	0	restore_#8_health.	0	3	0	0	0	cs2_007	druid	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	healing_touch	cyril_van_der_haegen	0	0	free		0	0	0
89	0	tgt	0	0	whenever_this_minion_takes_damage,_also_deal_that_amount_to_your_hero.	0	2	0	0	0	at_026	warlock	0	0	0	4	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	wrathguard	sojin_hwang	0	0	common	demon	0	0	0
90	0	core	0	0		0	4	0	0	0	cs2_119	neutral	0	0	0	2	0	0	0	7	0	0	0	minion	0	True	0	0	0	0	0	0	oasis_snapjaw	ittoku	0	0	free	beast	0	0	0
91	0	expert1	0	0	whenever_a_friendly_minion_takes_damage,_gain_1_armor.	0	2	0	0	0	ex1_402	warrior	0	0	0	1	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	armorsmith	greg_hildebrandt	0	0	rare		0	0	0
92	0	og	0	2	<b>deathrattle:</b>_return_this_to_your_hand.	0	5	0	0	0	og_033	warrior	0	0	0	2	0	0	0		0	0	0	weapon	0	True	0	0	0	1	0	0	tentacles_for_arms	alex_konstad	0	0	epic		0	0	0
93	0	expert1	0	0	<b>secret:</b>_when_an_enemy_attacks,_summon_a_2/1_defender_as_the_new_target.	0	1	0	0	0	ex1_130	paladin	0	0	0		0	1	0		0	0	0	spell	0	True	0	0	0	0	0	0	noble_sacrifice	zoltan_&_gabor	0	0	common		0	0	0
94	0	tgt	0	0	deal_$4-$5_damage_to_all_minions._<b>overload:</b>_(5),	0	3	0	0	0	at_051	shaman	0	0	0		5	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	elemental_destruction	tyler_walpole	0	0	epic		0	0	0
95	0	core	0	0	give_a_friendly_minion_+2_attack_and_<b>charge</b>.	0	3	0	0	0	cs2_103	warrior	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	charge	alex_horley_orlandelli	0	0	free		0	0	0
96	0	expert1	0	0	<b>choose_one</b>_-_give_a_minion_+4_attack;_or_+4_health_and_<b>taunt</b>.	0	3	0	0	0	ex1_155	druid	0	1	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	mark_of_nature	clint_langley	0	0	common		0	0	0
97	0	hero_skins	0	0		0		0	0	0	hero_04a	paladin	0	0	0		0	0	0	30	0	0	0	hero	0	True	0	0	0	0	0	0	lady_liadrin		0	0	epic		0	0	0
98	0	tgt	0	0	<b>battlecry:</b>_<b>silence</b>_a_demon.	0	3	0	0	0	at_106	neutral	0	0	0	4	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	light's_champion	andrea_uderzo	0	0	rare		0	1	0
99	0	gvg	0	0	whenever_this_minion_takes_damage,_double_its_attack.	0	7	0	0	0	gvg_049	hunter	0	0	0	6	0	0	0	9	0	0	0	minion	0	True	0	0	0	0	0	0	gahz'rilla	raymond_swanland	0	0	legendary	beast	0	0	0
100	0	og	0	0	"at_the_start_of_your_turn,_reduce_this_card's
cost_by_(1)."	0	6	0	0	0	og_138	neutral	0	0	0	4	0	0	0	4	0	0	0	minion	0	True	0	0	0	0	0	0	nerubian_prophet	lars_grant-west	0	0	common		0	0	0
101	0	expert1	0	0	<b>windfury</b>	0	3	0	0	0	ex1_021	neutral	0	0	0	2	0	0	0	3	0	0	0	minion	0	True	0	0	0	0	0	0	thrallmar_farseer	efrem_palacios	0	1	common		0	0	0
102	0	tgt	0	0	whenever_you_equip_a_weapon,_give_it_+1_attack.	0	1	0	0	0	at_029	rogue	0	0	0	2	0	0	0	1	0	0	0	minion	0	True	0	0	0	0	0	0	buccaneer	matt_dixon	0	0	common	pirate	0	0	0
103	0	og	0	0	<b>deathrattle:</b>_restore_8_health_to_the_enemy_hero.	0	5	0	0	0	og_147	neutral	0	0	0	6	0	0	0	6	0	0	0	minion	0	True	0	0	0	1	0	0	corrupted_healbot	jesper_esjing	0	0	rare	mechanical	0	0	0
104	0	loe	0	0	<b>deathrattle:</b>_add_a_coin_to_your_hand.	0	4	0	0	0	loe_012	rogue	0	0	0	5	0	0	0	4	0	0	0	minion	0	True	0	0	0	1	0	0	tomb_pillager	dave_allsop	0	0	common		0	0	0
105	0	expert1	0	0	draw_a_card_for_each_damaged_friendly_character.	0	2	0	0	0	ex1_392	warrior	0	0	0		0	0	0		0	0	0	spell	0	True	0	0	0	0	0	0	battle_rage	alex_horley_orlandelli	0	0	common		0	0	0
